"brand_name","name","part_num","upc_num","category","price","discount_percentage","final_price"
"Sony","Sony XR65A80L 65 inch BRAVIA XR A80L 4K OLED Smart TV","A118330248","027242927360","TVs & Electronics_Televisions_OLED TVs","3299.95","42","1898.00"
"Samsung","Samsung QN65Q80C 65 in.; Class Q80C QLED 4K Smart TV","A117820248","887276745404","TVs & Electronics_Televisions_LED TVs","1999.95","45","1097.99"
"LG","LG 50UR9000 50 inch Class 4K HDR LED Smart TV","A117606147","195174054147","TVs & Electronics_Televisions_LED TVs","699.95","44","386.99"
"Samsung","Samsung UN55CU8000 55 inch Class Crystal UHD 4K Smart TV (2023)","A117006190","887276738635","TVs & Electronics_Televisions_LED TVs","799.95","34","527.95"
"Samsung","Samsung QN43Q60C 43 inch Q60C 4K QLED Smart TV","A116916873","887276737218","TVs & Electronics_Televisions_LED TVs","699.95","36","447.99"
"Samsung","Samsung UN32M4500 32 inch M4500 HD Smart TV","A025306874","887276258621","TVs & Electronics_Televisions_LED TVs","299.99","34","197.99"
"TCL","TCL 43S450G 43 inch S4 LED 4K Smart TV","A118314818","846042065108","TVs & Electronics_Televisions_LED TVs","499.99","46","269.99"
"Samsung","Samsung QN55S95C 55 inch Class S95C OLED 4K Smart TV","A119034229","887276748887","TVs & Electronics_Televisions_OLED TVs","2999.95","36","1897.99"
"Samsung","Samsung QN65Q60C 65 inch Q60C QLED HDR 4K Tizen Smart TV","A116820962","887276728926","TVs & Electronics_Televisions_LED TVs","1299.95","42","747.99"
"Samsung","Samsung QLED TV QN65LS03BA 65"" The Frame 4K Smart TV (2022) QN65LS03BAFXZA","A109085902","887276626161","TVs & Electronics_Televisions_LED TVs","1895.00","","1895.00"
"LG","LG 65NANO75UQ 65 inch Class NanoCell 75UQA Series LED 4K UHD Smart webOS TV","A110068946","195174028629","TVs & Electronics_Televisions_LED TVs","1199.95","41","696.99"
"LG","LG 86UQ7590 86 inch Class UQ75 Series LED 4K UHD Smart webOS TV","A114106528","195174052006","TVs & Electronics_Televisions_LED TVs","3299.95","57","1396.99"
"Samsung","Samsung UN43CU8000 43 inch Class Crystal UHD Smart TV","A116806392","887276737256","TVs & Electronics_Televisions_LED TVs","599.95","42","347.99"
"Element","Element E4AA55R 55 inch 400 Series 4K UHD HDR Smart Roku TV","A120232403","810649031316","TVs & Electronics_Televisions_LED TVs","449.99","11","399.99"
"Samsung","Samsung QN50Q60C 50 inch Q60C 4K QLED Smart TV","A116916876","887276737225","TVs & Electronics_Televisions_LED TVs","799.95","34","527.99"
