id_extension,name_extension,short_description
kkgaechmpjgbojahkofamdjkaklgbdkc,"Calendar, Timeline, Time Tracking for Trello","Integration with Google Calendar, time tracking and reports, Gantt-like roadmap, team workload, repeating cards, dependencies"
nmfjkeiebceinkbggliapgfdjphocpdh,New Tab Draft,Simple & clean writing experience on browser new tab.
pkkhkgaamkjaepakanehpgbifoljadnl,GitHub Projects Plus,Adds advanced labels management and other functionality to GitHub.
gpajoplmdkkhhhimmancdokfchbfmcmm,Dogemask,Dogemask Wallet
ampkihoonmeegpiilnkediachdkhenag,Corrupt Download Catcher,"Warns you if a file you just downloaded is under 4 KB or if the server returned an error, which means you downloaded an error page."
jnfjfjciimpmghngoagghbpeknajdmep,Get image from tistory.com,Get original image size from tistory.com
babampadbckangpikhkoapglcpccjadc,SlackUtil,Slack useful functions
mgjaeagieobaegpdbaennilfbbhadlch,Ca-Y-E,My little cute platformer
odchblbgkkchnldldakeikkjfbkllaah,LinkRedirector,Redirects any links to your arbitrary address by customizable filters.
lmdcnhinfdiljgbmmbkaomfahjhdohod,sam the space shooter,awesome
mffeadjabcnpcjlpbdbhoglnfbmbfkoo,BeFunky Extension,Instantly edit web page images and screenshots with BeFunky Photo Editor
gbpfaeebohfnkhpaedejjlpplhbninpl,Aussie Best Choice app,Aussie Best online games
phhkogjajgjfiajhjmdcgljmhkhknpmm,SLO Counter for Zendesk Dashboard,Add the SLO Counter to Invicti Zendesk Rating Dashboard
jmggagicdeomaenmjjlphbamdaeojcol,Tailwind Cheat Sheet Extension,The Chrome Extension for Tailwind Cheat Sheet
bkgfkhmdiiihocmjjgfljjjihpaaobfj,Под Водой,Невероятная тема оформления для Atavi.com
beepamegohkgppelalaijegbnfajmcia?hl=ms,Designer,"If you like this theme, will rate it, please. Website: https://gctheme.store/"
fnfdomooadjpfohbepiaonnbdmkdjiog?hl=zh-TW,Meomni: 全能瀏覽器助手,終極瀏覽器擴充套件。側邊欄、書籤、ChatGpt、日曆、任務、待辦事項、番茄鐘
pbkplelomfmahlbhpekhcgebnhgknhjh?hl=zh-TW,Google Mail Checker,在 Google Mail 收件匣中顯示未讀郵件的數目。按一下按鈕也可以開啟收件匣。
bhnalicdjolpcnobpboikbiifafhpefd?hl=zh-TW,Mikity3D Mobile,
bnilappbibbplojcnccfijamkoaemegl?hl=zh-TW,Tunnel Rush Unblocked Games 66,Tunnel Rush Unblocked Games 66 is best game you can play right on Chrome™! Popup and Offline!
appcnegdilpjeoablkihimpnhfbhdlne?hl=zh-TW,一鍵重新載入失敗標籤頁,一鍵刷新所有載入失敗的標籤頁
nbkbaafmiooegfmjglgknmjipoijejmb?hl=zh-TW,Minecraft New Tab,歡迎使用 Minecraft New Tab 擴充功能！
chigdgclcjhpkdkkagijaffemaopnjla?hl=zh-TW,Version Check for Moodle,檢查網頁由什麼版本的Moodle提供技術支援。
